name;WKT;Country
Bousies;POINT(3.61639 50.1517);France
Schwobsheim;POINT(7.57694 48.2333);France
Fontenailles;POINT(2.95275 47.6325);France
Groslay;POINT(2.3453 48.9875);France
Sanilhac-Sagriès;POINT(4.42528 43.9558);France
Milly-sur-Bradon;POINT(5.20778 49.3983);France
Pars-lès-Romilly;POINT(3.7325 48.4869);France
Blendecques;POINT(2.27722 50.7178);France
La Bazouge-des-Alleux;POINT(-0.608889 48.1842);France
Saint-Joachim;POINT(-2.19944 47.3831);France
La Jarne;POINT(-1.07278 46.1286);France
Manas;POINT(4.985 44.6003);France
Magny-la-Ville;POINT(4.42972 47.4825);France
Dounoux;POINT(6.44472 48.1053);France
Les Essarts;POINT(-1.22694 46.7744);France
Niafles;POINT(-1.0006 47.8472);France
La Bazoque;POINT(-0.866389 48.7942);France
Gignac-La Nerthe;POINT(5.23667 43.3699);France
Fresnes-en-Saulnois;POINT(6.43861 48.8406);France
Les Déserts;POINT(6.01194 45.6222);France
Chatignonville;POINT(1.9308 48.4692);France
Les Chavannes-en-Maurienne;POINT(6.28278 45.3919);France
Marey-lès-Fussey;POINT(4.85861 47.1203);France
Lessard-et-le-Chêne;POINT(0.119722 49.0747);France
Marat;POINT(3.68361 45.66);France
Petit Cul-de-Sac;POINT(-62.7906 17.905);France
La Baconnière;POINT(-0.891944 48.1839);France
Savignac-sur-Leyze;POINT(0.791389 44.4811);France
Neuville-Coppegueule;POINT(1.75611 49.8494);France
Cormes;POINT(0.705 48.1692);France
Paulin;POINT(1.34833 45.0028);France
Jozerand;POINT(3.09778 46.0264);France
Saint-Berthevin-la-Tannière;POINT(-0.945278 48.4017);France
Landres-et-Saint-Georges;POINT(5.01139 49.3542);France
Seigny;POINT(4.43472 47.5742);France
Saint-Arailles;POINT(0.358333 43.6272);France
Villers-Agron-Aiguizy;POINT(3.69861 49.1622);France
Mérinville;POINT(2.9425 48.0833);France
Saligny;POINT(-1.42389 46.8086);France
Fey-en-Haye;POINT(5.96222 48.9036);France
Bazemont;POINT(1.865 48.928);France
Soucelles;POINT(-0.417 47.569);France
Pébrac;POINT(3.51 45.0325);France
Ménilles;POINT(1.3661 49.0342);France
Acheville;POINT(2.8836 50.3839);France
Felgerieg-Vihan;POINT(-1.6075 47.9286);France
Hangest-en-Santerre;POINT(2.6067 49.7542);France
Saint-Morel;POINT(4.695 49.3383);France
Ouffières;POINT(-0.49 49.0244);France
Saint-Élix-le-Château;POINT(1.13944 43.2803);France
Biviers;POINT(5.80389 45.2403);France
Gespunsart;POINT(4.82944 49.8222);France
Chavannes-sur-Reyssouze;POINT(4.99389 46.4317);France
Valence;POINT(0.308056 44.1111);France
Acon;POINT(1.0916 48.7733);France
Vernusse;POINT(2.97861 46.2694);France
Tenteling;POINT(6.93944 49.1261);France
Talais;POINT(-1.05639 45.4731);France
Saubion;POINT(-1.34722 43.6725);France
Loupia;POINT(2.11222 43.0628);France
Bellerive-sur-Allier;POINT(3.40444 46.1175);France
Carlux;POINT(1.35417 44.8847);France
Saint-Bressou;POINT(1.97278 44.7053);France
Saint-Lary-Soulan;POINT(0.323611 42.8169);France
Fournes-en-Weppes;POINT(2.89 50.5858);France
Chaumard;POINT(3.91278 47.1453);France
Lignorelles;POINT(3.72833 47.8639);France
Pondi;POINT(-2.9614 48.0692);France
Chauvirey-le-Vieil;POINT(5.75639 47.7864);France
Pierre-Buffière;POINT(1.36 45.6956);France
Aigrefeuille-sur-Maine;POINT(-1.39917 47.0775);France
Maraye-en-Othe;POINT(3.85333 48.1647);France
Bois-de-la-Pierre;POINT(1.15167 43.345);France
Revelles;POINT(2.12194 49.8494);France
Puxe;POINT(5.79333 49.1569);France
Canappeville;POINT(1.09972 49.5861);France
Thou;POINT(2.66167 47.4261);France
Kantlou;POINT(-1.6142 47.9667);France
Issy-les-Moulineaux;POINT(2.27 48.8239);France
Agnières;POINT(2.60472 50.3539);France
Cizay-la-Madeleine;POINT(-0.186111 47.1894);France
Laroque-des-Albères;POINT(2.93278 42.5239);France
Bretx;POINT(1.19917 43.7053);France
Brieux;POINT(-0.08167 48.84);France
Confolent-Port-Dieu;POINT(2.4972 45.5442);France
Saint-Denis-de-Pile;POINT(-0.205 44.9925);France
Saint-Denis-d’Anjou;POINT(-0.439722 47.7917);France
Morne-à-l'Eau;POINT(-61.4569 16.3322);France
Élincourt-Sainte-Marguerite;POINT(2.81889 49.5264);France
Vauthiermont;POINT(7.0325 47.685);France
Randan;POINT(3.35556 46.0186);France
Raucoules;POINT(4.29583 45.1883);France
Brug;POINT(-2.0175 47.8156);France
Saint-Flovier;POINT(1.02833 46.9689);France
Lannoez;POINT(-2.58056 48.0028);France
Pray;POINT(1.11778 47.6769);France
Lac des Plagnes;POINT(6.75194 46.2456);France
Saint-Paul-d'Uzore;POINT(4.08111 45.6789);France
Montchaboud;POINT(5.4547 45.0546);France
Moisdon-la-Rivière;POINT(-1.37111 47.6222);France
Llauro;POINT(2.74444 42.5506);France
Léning;POINT(6.80778 48.9578);France
Mazères-sur-Salat;POINT(0.974167 43.1342);France
Bucey-lès-Traves;POINT(5.98222 47.6275);France
La Neuville-Roy;POINT(2.57806 49.4828);France
Marigna-sur-Valouse;POINT(5.52944 46.4469);France
Tarnos;POINT(-1.46 43.5411);France
Oiron;POINT(-0.0802778 46.9519);France
Scata;POINT(9.40194 42.4172);France
Ponson-Dessus;POINT(-0.0530556 43.3156);France
Saint-Pierre-Aigle;POINT(3.18667 49.3208);France
Pommeuse;POINT(3.0172 48.8172);France
Conthil;POINT(6.6625 48.8933);France
Asnières-sous-Bois;POINT(3.64972 47.4836);France
Fresnoy-Andainville;POINT(1.795 49.9114);France
La Rouaudière;POINT(-1.19056 47.8308);France
Saint-Coutant-le-Grand;POINT(-0.7675 45.9542);France
Hérimoncourt;POINT(6.88389 47.4414);France
Plezeved;POINT(-2.59361 48.1778);France
Clavans-en-Haut-Oisans;POINT(6.16361 45.0844);France
Vahl-Ebersing;POINT(6.75417 49.0506);France
Challans;POINT(-1.87806 46.8467);France
Yquebeuf;POINT(1.25611 49.5983);France
Javron-les-Chapelles;POINT(-0.336389 48.4183);France
Chieulles;POINT(6.23028 49.1592);France
Chabeuil;POINT(5.02083 44.9006);France
Boussières-sur-Sambre;POINT(3.8825 50.2408);France
Dompierre-sur-Veyle;POINT(5.2 46.0667);France
Auzeville-Tolosane;POINT(1.48222 43.5283);France
Ortaffa;POINT(2.92583 42.5808);France
Les Mages;POINT(4.16667 44.2292);France
Gaillac-Toulza;POINT(1.47167 43.2556);France
Belloc;POINT(1.93139 43.0142);France
Aschères-le-Marché;POINT(2.00889 48.1081);France
Huriel;POINT(2.4775 46.3739);France
Sexey-les-Bois;POINT(6.02028 48.7164);France
Pontgibaud;POINT(2.851 45.833);France
Saint-Bon;POINT(3.46222 48.6786);France
Collorgues;POINT(4.29194 44.0056);France
Vendranges;POINT(4.13722 45.9422);France
Montpont-en-Bresse;POINT(5.165 46.5581);France
Chêne-Arnoult;POINT(3.07 47.9025);France
Claret;POINT(3.90556 43.8628);France
La Croix-sur-Roudoule;POINT(6.87583 43.9883);France
Saint-Martin-de-Coux;POINT(-0.108056 45.1461);France
Koñforzh-Meilar;POINT(-4.425 48.0506);France
Lys-lez-Lannoy;POINT(3.21528 50.6722);France
Virginy;POINT(4.76083 49.1767);France
Villiers-Charlemagne;POINT(-0.675 47.9231);France
Bazeleg-an-Dezerzh;POINT(-1.1036 48.4439);France
Montgaillard-sur-Save;POINT(0.73 43.255);France
Espalion;POINT(2.76139 44.5206);France
Dambach-la-Ville;POINT(7.42806 48.3247);France
Eteimbes;POINT(7.05028 47.7036);France
Aluze;POINT(4.68722 46.8492);France
Corbeilles;POINT(2.55 48.0731);France
Thiéfosse;POINT(6.73083 47.9722);France
Onard;POINT(-0.836111 43.7811);France
Camboulit;POINT(1.95056 44.6008);France
Dompaire;POINT(6.22306 48.2225);France
Logivi-Plougraz;POINT(-3.48667 48.5228);France
Saintes-Maries-de-la-Mer;POINT(4.42861 43.4528);France
Saint-Martin-d'Armagnac;POINT(-0.0619444 43.7147);France
Villefranche-d’Allier;POINT(2.85806 46.3975);France
Martres-de-Rivière;POINT(0.642222 43.08);France
Dissangis;POINT(3.98278 47.5978);France
Bellaffaire;POINT(6.1775 44.4203);France
Valanjou;POINT(-0.594167 47.2147);France
Bredual;POINT(-1.8639 48.125);France
Chabestan;POINT(5.78389 44.4789);France
Saint-Appolinaire;POINT(4.42417 45.9778);France
Bruay-sur-l’Escaut;POINT(3.54028 50.3989);France
Juvrecourt;POINT(6.56667 48.7436);France
La Limouzinière;POINT(-1.595 46.9939);France
Bambiderstroff;POINT(6.59389 49.1036);France
Droisy;POINT(1.14306 45.9658);France
Luzenac;POINT(1.76444 42.7647);France
Amanlis;POINT(-1.4747 48.0072);France
Beaumerie-Saint-Martin;POINT(1.79917 50.4564);France
Croix-Mare;POINT(0.851389 49.6028);France
Saint-Denoeux;POINT(1.90639 50.4731);France
Maisons-en-Champagne;POINT(4.49694 48.7497);France
Boujan-sur-Libron;POINT(3.24972 43.3733);France
Bezange-la-Grande;POINT(6.47472 48.7467);France
Saint-Restitut;POINT(4.79 44.33);France
Liercourt;POINT(1.90083 50.04);France
Thiant;POINT(3.44917 50.3064);France
Belval-Bois-des-Dames;POINT(5.03694 49.4697);France
Moissat;POINT(3.35889 45.7783);France
Lac de Montcineyre;POINT(2.9 45.4667);France
Biesheim;POINT(7.54389 48.0417);France
Lafrançaise;POINT(1.24139 44.1286);France
Laning;POINT(6.77611 49.0358);France
Saint-Jores;POINT(-1.42056 49.3036);France
Plouziri;POINT(-4.1414 48.4544);France
Flaux;POINT(4.50444 44.0214);France
Almenêches;POINT(0.110833 48.6983);France
Pasques;POINT(4.86306 47.3672);France
Ar Wazh-Wenn;POINT(-1.74 47.8031);France
Linghem;POINT(2.37167 50.5947);France
Brignoles;POINT(6.06155 43.4058);France
Guincourt;POINT(4.62694 49.5581);France
Chaufour-lès-Bonnières;POINT(1.48417 49.0169);France
Tronville;POINT(5.92056 49.0858);France
Gréasque;POINT(5.53917 43.4306);France
Blandouet;POINT(-0.3275 48.0519);France
Salaise-sur-Sanne;POINT(4.82 45.3453);France
Saint-Geyrac;POINT(0.915278 45.0889);France
Saint-Martin-aux-Bois;POINT(2.57194 49.5217);France
Fontenay-Torcy;POINT(1.77056 49.5689);France
Melin;POINT(-2.56667 47.7406);France
Ligsdorf;POINT(7.30583 47.4733);France
Saint-Ouen-des-Champs;POINT(0.540833 49.3919);France
Marcillac;POINT(-0.521667 45.2697);France
Blandas;POINT(3.51361 43.9136);France
Vauxtin;POINT(3.60417 49.3511);France
Guérard;POINT(2.96667 48.8167);France
Hôtel Ritz Paris;POINT(2.32861 48.8678);France
Oberhoffen-sur-Moder;POINT(7.86444 48.7847);France
La Réunion;POINT(0.118611 44.2983);France
Meuzac;POINT(1.44139 45.5542);France
Jouy-sous-Thelle;POINT(1.97056 49.3181);France
Sains-lès-Pernes;POINT(2.3572 50.4783);France
Saint-Paul-de-Serre;POINT(0.634444 45.0892);France
Conan;POINT(1.28722 47.7494);France
La Fermeté;POINT(3.33417 46.9672);France
Barry-d'Islemade;POINT(1.24583 44.0767);France
Megève;POINT(6.6181 45.8578);France
Bellême;POINT(0.561389 48.3772);France
Saint-Andéol-de-Berg;POINT(4.528 44.5281);France
La Condamine-Châtelard;POINT(6.74639 44.4589);France
Vercourt;POINT(1.70194 50.3008);France
Forgès;POINT(1.87083 45.1564);France
Lac de Cap-de-Long;POINT(0.129722 42.825);France
Arry;POINT(1.72139 48.995);France
Milizac;POINT(-4.5667 48.4683);France
Beaumat;POINT(1.52083 44.6603);France
Charly-Oradour;POINT(6.24 49.175);France
Thibivillers;POINT(1.90083 49.3025);France
Lac du Malsaucy;POINT(6.80139 47.6861);France
Le Fenouiller;POINT(-1.89917 46.7203);France
Barenton-Bugny;POINT(3.65222 49.6339);France
Dampierre-sur-Salon;POINT(5.68083 47.5578);France
Châtillon-en-Bazois;POINT(3.65639 47.0531);France
Bois-Sainte-Marie;POINT(4.35583 46.33);France
Hargarten-aux-Mines;POINT(6.60917 49.2256);France
Osches;POINT(5.25389 49.0472);France
Bordezac;POINT(4.07722 44.3156);France
Neure;POINT(2.98139 46.7472);France
Aumagne;POINT(-0.402778 45.8753);France
Obrechies;POINT(4.02667 50.2206);France
Brenthonne;POINT(6.39444 46.2744);France
Canettemont;POINT(2.36639 50.2786);France
Lignan-de-Bazas;POINT(-0.2775 44.4322);France
Bergicourt;POINT(2.02472 49.7478);France
Corsept;POINT(-2.05778 47.2783);France
Chanteloup-en-Brie;POINT(2.74 48.8556);France
Haute-Avesnes;POINT(2.63333 50.3333);France
Riscle;POINT(-0.0858333 43.6575);France
Jouarre;POINT(3.13076 48.9271);France
Docelles;POINT(6.61861 48.1464);France
Saint-Germain-de-Modéon;POINT(4.1325 47.3803);France
Mauny;POINT(0.885833 49.385);France
Albussac;POINT(1.83639 45.1389);France
Durdat-Larequille;POINT(2.7025 46.2528);France
Balsièges;POINT(3.45833 44.4814);France
Winssen;POINT(5.7 51.8833);Netherlands
Oude Wetering;POINT(4.64278 52.2142);Netherlands
Overslag;POINT(3.88972 51.2008);Netherlands
Mierlo;POINT(5.61667 51.4411);Netherlands
Vriezenveen;POINT(6.60028 52.4019);Netherlands
Surch;POINT(5.39389 53.1119);Netherlands
Sjlennich;POINT(5.86667 50.7667);Netherlands
Bellingwedde;POINT(7.15 53.1167);Netherlands
Baarle-Nassau;POINT(4.93333 51.45);Netherlands
Weurt;POINT(5.81667 51.85);Netherlands
Toppenhuzen;POINT(5.69528 53.0128);Netherlands
It Heechsân;POINT(6.05139 53.1864);Netherlands
Oranje;POINT(6.45 52.9);Netherlands
Volthe;POINT(6.94639 52.3708);Netherlands
Boxmeer;POINT(5.93944 51.6444);Netherlands
Alphen;POINT(4.95611 51.4808);Netherlands
Meerkerk;POINT(5.0 51.9167);Netherlands
Stellendam;POINT(4.03333 51.8);Netherlands
Themaat;POINT(5.01 52.1158);Netherlands
Breezanddijk;POINT(5.20694 53.02);Netherlands
Dongjum;POINT(5.54278 53.2089);Netherlands
Luttelgeest;POINT(5.85 52.7431);Netherlands
Milheeze;POINT(5.77889 51.5);Netherlands
Amsterdam-Noord;POINT(4.91833 52.3911);Netherlands
Heille;POINT(3.41667 51.2667);Netherlands
Rotterdam Centraal;POINT(4.46944 51.9244);Netherlands
Arum;POINT(5.47528 53.1297);Netherlands
Schagen;POINT(4.8 52.78);Netherlands
Gytsjerksterhoek;POINT(5.87889 53.2383);Netherlands
Nieuw Sloten;POINT(4.8125 52.3464);Netherlands
Delft Zuid;POINT(4.36556 51.9906);Netherlands
Dubbeldam;POINT(4.73333 51.7833);Netherlands
Kotten;POINT(6.76667 51.942);Netherlands
Wervershoof;POINT(5.17 52.73);Netherlands
Valburg;POINT(5.78917 51.9111);Netherlands
Nieuw Amsterdam;POINT(6.84861 52.7186);Netherlands
Lede en Oudewaard;POINT(5.55 51.9333);Netherlands
Maurik;POINT(5.42361 51.96);Netherlands
Marrum;POINT(5.80139 53.3222);Netherlands
Dronten;POINT(5.71667 52.5333);Netherlands
Rotterdam Zuid;POINT(4.50944 51.9094);Netherlands
Benthuizen;POINT(4.55 52.0833);Netherlands
Groenlo;POINT(6.61667 52.0411);Netherlands
Lepelstraat;POINT(4.28333 51.55);Netherlands
Weert;POINT(5.7 51.2486);Netherlands
Soest;POINT(5.3 52.1731);Netherlands
Oude IJsselstreek;POINT(6.41667 51.9);Netherlands
Eemshaven;POINT(6.83111 53.4483);Netherlands
Utrecht Terwijde;POINT(5.04306 52.1008);Netherlands
Mook-Molenhoek;POINT(5.8775 51.7647);Netherlands
Deest;POINT(5.66667 51.8833);Netherlands
Watergang;POINT(4.95 52.4333);Netherlands
Huisduinen;POINT(4.72611 52.9522);Netherlands
Baard;POINT(5.66667 53.15);Netherlands
Breklenkamp;POINT(6.99833 52.4519);Netherlands
Echt;POINT(5.87861 51.1);Netherlands
Westkerke;POINT(4.09417 51.5333);Netherlands
De Groeve;POINT(6.71667 53.1167);Netherlands
Stolwijk;POINT(4.76667 51.9667);Netherlands
Beneden-Haastrecht;POINT(4.75 52.0);Netherlands
Teylingen;POINT(4.5 52.22);Netherlands
Sonnega;POINT(5.96056 52.8669);Netherlands
Kievitswaard;POINT(4.91472 51.7922);Netherlands
Abbegea;POINT(5.57083 53.0183);Netherlands
Cillarshoek;POINT(4.54611 51.7667);Netherlands
Wijlre;POINT(5.89444 50.8314);Netherlands
't Zand;POINT(4.75472 52.8372);Netherlands
Holten;POINT(6.41861 52.2814);Netherlands
Oldeholtwolde;POINT(5.955 52.8856);Netherlands
Milsbeek;POINT(5.94778 51.7267);Netherlands
Schenkeldijk;POINT(4.38222 51.7453);Netherlands
Medemblik;POINT(5.1 52.77);Netherlands
Stormpolder;POINT(4.57444 51.9117);Netherlands
Gouderak;POINT(4.68333 51.9833);Netherlands
Yndyk;POINT(5.60194 52.9469);Netherlands
Ruinen;POINT(6.35 52.7633);Netherlands
Eerde;POINT(5.48333 51.6);Netherlands
Druten;POINT(5.61667 51.8833);Netherlands
Westeinde;POINT(4.48583 52.1147);Netherlands
Haamstede;POINT(3.74361 51.6967);Netherlands
Hoorn;POINT(5.05472 52.641);Netherlands
Hoek van Holland Strand;POINT(4.11944 51.9828);Netherlands
Goaiïngaryp;POINT(5.77222 53.0106);Netherlands
Woudenberg;POINT(5.41667 52.0833);Netherlands
Hoedekenskerke;POINT(3.9125 51.4242);Netherlands
Liskwartier;POINT(4.47333 51.9367);Netherlands
Hulsberg;POINT(5.85 50.8833);Netherlands
Delfzijl;POINT(6.91667 53.3333);Netherlands
Wieringerwaard;POINT(4.86778 52.84);Netherlands
Easterein;POINT(5.61833 53.0964);Netherlands
Dantumadeel;POINT(5.98333 53.2833);Netherlands
Rhenen;POINT(5.56528 51.9567);Netherlands
Maarheeze;POINT(5.6 51.3039);Netherlands
Ried;POINT(5.59056 53.2225);Netherlands
Wageningen;POINT(5.66306 51.9644);Netherlands
Royal Theater;POINT(5.97389 50.8901);Netherlands
Nieuwland;POINT(5.01333 51.9028);Netherlands
Burchwert;POINT(5.54583 53.0878);Netherlands
Surhuizum;POINT(6.18333 53.2);Netherlands
Stampersgat;POINT(4.43944 51.6128);Netherlands
Gaast;POINT(5.40833 53.0164);Netherlands
Aalsmeer;POINT(4.7625 52.2639);Netherlands
's-Hertogenbosch;POINT(5.30694 51.7);Netherlands
Ter Heijde;POINT(4.1675 52.0297);Netherlands
Rottum;POINT(5.89028 52.9358);Netherlands
Piershil;POINT(4.31667 51.8);Netherlands
Zuidschermer;POINT(4.78333 52.5833);Netherlands
Rolde;POINT(6.64611 52.9833);Netherlands
Oosterstreek;POINT(6.16917 52.8992);Netherlands
Lisse;POINT(4.55 52.25);Netherlands
Noordeinde;POINT(4.76667 52.2);Netherlands
Oostburg;POINT(3.49306 51.3264);Netherlands
Opende;POINT(6.19806 53.1725);Netherlands
Wesse;POINT(5.88 51.1578);Netherlands
Oldeberkoop;POINT(6.13389 52.9381);Netherlands
Den Bommel;POINT(4.28333 51.7167);Netherlands
Weteringbrug;POINT(4.65 52.2167);Netherlands
Buitenveldert;POINT(4.88333 52.3333);Netherlands
Barger-Compascuum;POINT(7.03333 52.75);Netherlands
Tiengemeten;POINT(4.31667 51.7333);Netherlands
Grolloo;POINT(6.67111 52.9353);Netherlands
Oosterland;POINT(4.03556 51.6494);Netherlands
Nijmegen;POINT(5.8525 51.825);Netherlands
Tzummarum;POINT(5.54611 53.2375);Netherlands
Berkel Westpolder;POINT(4.455 51.9894);Netherlands
Weidum;POINT(5.74389 53.1458);Netherlands
Udenhout;POINT(5.14167 51.6083);Netherlands
Sibrandahûs;POINT(5.93694 53.3108);Netherlands
Groede;POINT(3.5 51.3789);Netherlands
Harderwijk;POINT(4.99333 52.3375);Netherlands
Aalten;POINT(6.57806 51.9211);Netherlands
Zwanenburg;POINT(4.75 52.3833);Netherlands
Terdiek;POINT(4.89694 52.7269);Netherlands
Heino;POINT(6.22194 52.4269);Netherlands
Echtenerbrug;POINT(5.82111 52.8711);Netherlands
Dussen;POINT(4.96667 51.7333);Netherlands
Texel;POINT(4.8 53.05);Netherlands
Zeelst;POINT(5.41639 51.4167);Netherlands
Bronnegerveen;POINT(6.83333 52.95);Netherlands
Gaanderen;POINT(6.34472 51.9281);Netherlands
Purmerbuurt;POINT(4.96417 52.505);Netherlands
Zuidbarge;POINT(6.9 52.75);Netherlands
Petten;POINT(4.66667 52.7667);Netherlands
Nieuw-Weerdinge;POINT(6.96667 52.85);Netherlands
Jutryp;POINT(5.65 52.9956);Netherlands
Dantumadiel;POINT(5.98333 53.2833);Netherlands
De Veenhoop;POINT(5.94972 53.0969);Netherlands
Albergen;POINT(6.76194 52.3717);Netherlands
Norgervaart;POINT(6.46667 53.0094);Netherlands
Meertenwei;POINT(5.52444 51.9356);Netherlands
Appelscha;POINT(6.3505 52.9552);Netherlands
Buinerveen;POINT(6.88333 52.9333);Netherlands
De Haukes;POINT(4.93333 52.8833);Netherlands
Nunspeet;POINT(5.78472 52.3708);Netherlands
De Haar;POINT(6.51667 52.7);Netherlands
Vollenhove;POINT(5.95 52.6833);Netherlands
Sint-Oedenrode;POINT(5.46667 51.5667);Netherlands
Schieven;POINT(6.58333 52.9667);Netherlands
Vasse;POINT(6.83333 52.4333);Netherlands
Maastricht;POINT(5.69074 50.85);Netherlands
Reahûs;POINT(5.63667 53.0764);Netherlands
Berg aan de Maas;POINT(5.77083 51.0042);Netherlands
Nuenen;POINT(5.54667 51.4667);Netherlands
Horst;POINT(6.05361 51.4514);Netherlands
Grootebroek;POINT(5.21667 52.6989);Netherlands
Lauwersmeer;POINT(6.18333 53.3833);Netherlands
Hazerswoude-Rijndijk;POINT(4.59306 52.1292);Netherlands
Brummen;POINT(6.14694 52.0908);Netherlands
Woudrichem;POINT(5.0 51.8167);Netherlands
Witharen;POINT(6.39583 52.5608);Netherlands
Dalmsholte;POINT(6.365 52.4756);Netherlands
Exloërveen;POINT(6.9 52.9);Netherlands
Zandstraat;POINT(3.81028 51.2658);Netherlands
Groot Agelo;POINT(6.88611 52.3925);Netherlands
Norbik;POINT(5.81667 50.7667);Netherlands
's-Heerenhoek;POINT(3.76944 51.4533);Netherlands
Sânfurd;POINT(5.52083 52.9878);Netherlands
Emmer-Erfscheidenveen;POINT(6.96667 52.8);Netherlands
Wommels;POINT(5.58778 53.1086);Netherlands
Markelo;POINT(6.49528 52.2342);Netherlands
Akkrum;POINT(5.83611 53.0472);Netherlands
Swichum;POINT(5.81944 53.1036);Netherlands
Herveld;POINT(5.7475 51.8989);Netherlands
Giethoorn;POINT(6.0775 52.7389);Netherlands
Opheusden;POINT(5.62972 51.9261);Netherlands
Slenaken;POINT(5.86667 50.7667);Netherlands
Westpunt;POINT(4.35 51.8667);Netherlands
Laarbeek;POINT(5.41667 51.6667);Netherlands
Maasdijk;POINT(4.21667 51.9667);Netherlands
Hoogelande;POINT(3.56083 51.5067);Netherlands
Opeinde;POINT(6.05639 53.1331);Netherlands
Middelkoop;POINT(5.05 51.9167);Netherlands
Westzaan;POINT(4.76667 52.4667);Netherlands
Tuindorp Oostzaan;POINT(4.9 52.4167);Netherlands
Reduzum;POINT(5.78417 53.1175);Netherlands
Amsterdam Zuid;POINT(4.87306 52.3389);Netherlands
Oostrum;POINT(6.06111 53.3306);Netherlands
Beatrixkwartier;POINT(4.33472 52.08);Netherlands
Nagele;POINT(5.72333 52.6439);Netherlands
Oudesluis;POINT(4.81667 52.8333);Netherlands
Burdaard;POINT(5.87861 53.2936);Netherlands
Deventer Colmschate;POINT(6.21528 52.2503);Netherlands
Warten;POINT(5.89722 53.15);Netherlands
Noordoostpolder;POINT(5.75 52.7);Netherlands
Surhuisterveen;POINT(6.16667 53.1833);Netherlands
Greonterp;POINT(5.51917 53.015);Netherlands
Haule;POINT(6.30417 53.0369);Netherlands
Huis ter Heide;POINT(5.25556 52.1108);Netherlands
Wanroij;POINT(5.81667 51.65);Netherlands
Almenum;POINT(5.43333 53.1833);Netherlands
Dulder;POINT(6.8025 52.3408);Netherlands
Cromvoirt;POINT(5.23333 51.6667);Netherlands
Meppen;POINT(6.69556 52.7667);Netherlands
Iens;POINT(5.61389 53.1222);Netherlands
Smalle Ee;POINT(6.02222 53.1039);Netherlands
Rhein;POINT(9.31667 47.65);Netherlands
Hegebeintum;POINT(5.84944 53.3367);Netherlands
Empe;POINT(6.13333 52.15);Netherlands
Amterdamscheveld;POINT(6.91667 52.6833);Netherlands
Andijk;POINT(5.22 52.75);Netherlands
Pannerden;POINT(6.03778 51.8833);Netherlands
Westbroek;POINT(5.13333 52.15);Netherlands
Oosterzee-Buren;POINT(5.74806 52.8683);Netherlands
Waaxens;POINT(5.91944 53.3564);Netherlands
Damwâld;POINT(6.0 53.2833);Netherlands
Gasselterboerveen;POINT(6.84139 53.0003);Netherlands
Jiskenhuzen;POINT(5.71333 52.9286);Netherlands
Wijk en Aalburg;POINT(5.13056 51.75);Netherlands
Húns;POINT(5.6675 53.16);Netherlands
Ospel;POINT(5.78556 51.2978);Netherlands
Leiden Centraal;POINT(4.48222 52.1664);Netherlands
Geleen Oost;POINT(5.84306 50.9672);Netherlands
Wâldsein;POINT(5.6275 52.9428);Netherlands
Friens;POINT(5.79861 53.0989);Netherlands
Enter;POINT(6.5775 52.2942);Netherlands
Almkerk;POINT(4.96028 51.7667);Netherlands
Joure;POINT(5.78333 52.9667);Netherlands
Swartbroek;POINT(5.76667 51.2333);Netherlands
Mheer;POINT(5.79306 50.7828);Netherlands
Deurze;POINT(6.60917 52.9836);Netherlands
Blesdijke;POINT(6.01361 52.8303);Netherlands
Heech;POINT(5.6075 52.9692);Netherlands
Kadoelen (Amsterdam);POINT(4.90667 52.4175);Netherlands
Achterberg;POINT(5.58556 51.9717);Netherlands
Rheden;POINT(6.01667 52.0);Netherlands
Longerhou;POINT(5.47806 53.0692);Netherlands
Warnsveld;POINT(6.22167 18.1417);Netherlands
Ooltgensplaat;POINT(4.35 51.6833);Netherlands
Fleringen;POINT(6.8 52.3833);Netherlands
Harkstede;POINT(6.7 53.2167);Netherlands
Zuideinde;POINT(4.76667 52.1333);Netherlands
Tienhoven;POINT(4.93333 51.9667);Netherlands
De Wilgen;POINT(6.03333 53.1);Netherlands
Werkhoven;POINT(5.24306 52.0239);Netherlands
Dordrecht Zuid;POINT(4.67139 51.7897);Netherlands
Camperduin;POINT(4.65 52.7333);Netherlands
Gijbeland;POINT(4.81667 51.8833);Netherlands
Bladel;POINT(5.21667 51.3667);Netherlands
Gelderswoude;POINT(4.53139 52.0933);Netherlands
Dinxperlo;POINT(6.48333 51.8625);Netherlands
Goudriaan;POINT(4.9 51.9);Netherlands
Boijl;POINT(6.19944 52.9097);Netherlands
Nijmegen Lent;POINT(5.85944 51.8644);Netherlands
Haskerdiken;POINT(5.87972 52.9933);Netherlands
Krommenie;POINT(4.76667 52.5);Netherlands
Marknesse;POINT(5.85 52.7);Netherlands
Beemster;POINT(4.92 52.55);Netherlands
Tuil;POINT(5.23972 51.8228);Netherlands
Baarland;POINT(3.885 51.4083);Netherlands
Alteveer;POINT(6.43167 52.6742);Netherlands
Warns;POINT(5.40444 52.8819);Netherlands
Staphorst;POINT(6.2 52.65);Netherlands
Amsterdam Sloterdijk;POINT(4.83806 52.3892);Netherlands
Zuidbuurt;POINT(4.50528 52.1094);Netherlands
Nieuwe Tonge;POINT(4.16667 51.7167);Netherlands
Koudum-Molkwerum;POINT(5.41056 52.9022);Netherlands
Zevenbergen;POINT(4.59972 51.6453);Netherlands
Frieschepalen;POINT(6.205 53.1081);Netherlands
